variable,cycle,table,raw_name,weight,description,category,in_dataset,units,chemical_family
ACD070,1999-2000,ACQ,,,In what country was {your/SP's} father born?,Acculturation,Q,,
ACD070,2001-2002,ACQ_B,,,In what country was {your/SP's} father born?,Acculturation,Q,,
ACD070,2003-2004,ACQ_C,,,In what country was {your/SP's} father born?,Acculturation,Q,,
ACD080,1999-2000,ACQ,,,In what country was {your/SP's} mother born?,Acculturation,Q,,
ACD080,2001-2002,ACQ_B,,,In what country was {your/SP's} mother born?,Acculturation,Q,,
ACD080,2003-2004,ACQ_C,,,In what country was {your/SP's} mother born?,Acculturation,Q,,
ACD110,2011-2012,ACQ_G,,,"{Do you/Does SP} speak only (NON-ENGLISH LANGUAGE), more (NON-ENGLISH LANGUAGE) than English, both equally, more English than (N",Acculturation,Q,,
ACD110,2013-2014,ACQ_H,,,"{Do you/Does SP} speak only (NON-ENGLISH LANGUAGE), more (NON-ENGLISH LANGUAGE) than English, both equally, more English than (N",Acculturation,Q,,
ACD110,2015-2016,ACQ_I,,,"{Do you/Does SP} speak only (NON-ENGLISH LANGUAGE), more (NON-ENGLISH LANGUAGE) than English, both equally, more English than (N",Acculturation,Q,,
ACD110,2017-2018,ACQ_J,,,"{Do you/Does SP} speak only (NON-ENGLISH LANGUAGE), more (NON-ENGLISH LANGUAGE) than English, both equally, more English than (N",Acculturation,Q,,
ACQ020,1999-2000,ACQ,,,"The next questions are about language.  In general, what language(s) {do you/does SP} read and speak.  Would you say . . .",Acculturation,Q,,
ACQ020,2001-2002,ACQ_B,,,"The next questions are about language.  In general, what language(s) {do you/does SP} read and speak.  Would you say . . .",Acculturation,Q,,
ACQ020,2003-2004,ACQ_C,,,"The next questions are about language.  In general, what language(s) {do you/does SP} read and speak.  Would you say . . .",Acculturation,Q,,
ACQ030,1999-2000,ACQ,,,What was the language(s) {you/SP} used as a child?  Would you say ...,Acculturation,Q,,
ACQ030,2001-2002,ACQ_B,,,What was the language(s) {you/SP} used as a child?  Would you say …,Acculturation,Q,,
ACQ030,2003-2004,ACQ_C,,,What was the language(s) {you/SP} used as a child?  Would you say...,Acculturation,Q,,
ACQ050,1999-2000,ACQ,,,In which language(s) {do you/does SP} usually think?  Would you say...,Acculturation,Q,,
ACQ050,2001-2002,ACQ_B,,,In which language(s) {do you/does SP} usually think?  Would you say...,Acculturation,Q,,
ACQ050,2003-2004,ACQ_C,,,In which language(s) {do you/does SP} usually think?  Would you say...,Acculturation,Q,,
ACQ060,1999-2000,ACQ,,,What language(s) {do you/does SP} usually speak with {your/his/her} friends?  Would you say...,Acculturation,Q,,
